code,grades,level,address,c_s_z,phone,fax,website
,,,600 Mt. Pleasant AvenueAlumni House at RICSherlock Center on Disabilities,"Providence, RI  02908",(401) 456-1943 ,(401) 456-1979 ,www.sherlockcenter.org
,,,255 Westminster StreetRI Department of Education,"Providence, RI  02903-3400",(401) 222-8999 ,(401) 222-6030 ,www.ri.net/gifted_talented
,,,250 Lloyd Avenuec/o Moses Brown School,"Providence, RI  02906",(401) 831-7350 ,(401) 455-0084 ,www.isari.org
,,,645 Elmwood Avenue,"Providence, RI  02907",(401) 461-5940 ,(401) 467-6530 ,www.iiri.org
,,,5 Richmond Square,"Providence, RI  02906",(401) 751-4503 ,(401) 421-0248 ,www.kidsfirstri.org
,,,260 West Exchange StreetSuite 306,"Providence, RI  02903",(401) 274-4940 ,(401) 274-4941 ,www.rinasw.info
,,,Box 114141,"North Providence, RI  02911",(401) 331-8575 X39,,www.ri.net/RISSA
,,,209 Burlington Road,"Bedford, MA  01730-1433",(781) 271-0022 X5407,(781) 271-0950 ,www.neasc.org
,,,583 Third Beach Road,"Middletown, RI  02842",(401) 846-2577 X15,(401) 846-2772 ,www.normanbirdsanctuary.org
,,,1395 Atwood AvenueSuite 114,"Johnston, RI  02919",(401) 467-6855 ,(401) 467-6903 ,www.psnri.org
,,,626 Broad Street,"Central Falls, RI  02863",(401) 728-5920 ,(401) 724-5550 ,
,,,"56 Pine Street, Suite 3B","Providence, RI  02903",(401) 455-8880 ,(401) 331-6840 ,provplan.org
,,,80 Washington StreetThe Shepard BuildingSuite 524,"Providence, RI  02903",(401) 456-6028 ,(401) 456-6029 ,www.ribghe.org
,,,"560 Jefferson Boulevard, Suite 100","Warwick, RI  02886-1304",(401) 736-1100 ,,
,,,110 Benevolent Street,"Providence, RI  02906",(401) 331-8575 X53,(401) 351-0127 ,www.rihs.org
,,,"255 Westminster Street, Sixth Floor","Providence, RI  02903-3414",(401) 222-6831 ,(401) 222-6839 ,www.rilep.org
,,,646 Camp Avenue,"North Kingstown, RI  02852",(401) 295-9200 ,(401) 295-8101 ,www.ri.net
,,,50 Park LaneWSBE (Rhode Island PBS),"Providence, RI  02907",(401) 222-3636 ,(401) 222-3407 ,
,,,800 Logee StreetMount St. Charles Academy,"Woonsocket, RI  02895",(401) 769-0310 ,(401) 762-2327 ,www.ri.net/RISSA
,,,560 Jefferson Boulevard,"Warwick, RI  02886",(401) 468-1700 ,,
,,,161 Poppasquash RoadPO Box 748,"Bristol, RI  02809",(401) 253-0636 ,(401) 253-0637 ,
,,,600 Mt. Pleasant AvenueRIC/Bldg. #6,"Providence, RI  02908",(401) 273-5300 ,(401) 273-3800 ,
,,,135 ASA Pond RoadSouth Kingstown School Department,"Wakefield, RI  02879",(401) 360-1120 ,(401) 360-1126 ,
,,,65 Weybosset StreetThe Arcade/Suite 29,"Providence, RI  02903",(401) 751-3490 ,(401) 751-0040 ,
,,,361 Old Baptist Road,"North Kingstown, RI  02852",(401) 268-6279 ,(401) 268-6220 ,
,,,8 Abbott Park PlaceJohnson & Wales University,"Providence, RI  02903",(401) 598-1453 ,(401) 598-1821 ,www.ricte.org
,,,"1511 Pontiac Avenue, Bldg. 73/3Statewide Youth Services","Cranston, RI  02920",(401) 462-8821 ,(401) 462-8722 ,
,,,One Hilton Street,"Providence, RI  02905",(401) 455-6028 ,(401) 455-6139 ,
,,,356 Smith Street,"Providence, RI  02908",(401) 273-9800 ,(401) 331-8815 ,rifthp.org
,,,14 Stockton Drive,"Middletown, RI  02842",(401) 846-2136 ,(401) 846-1789 ,www.riiaaa.org
,,,"4 Richmond Square, Suite 300","Providence, RI  02906-5117",(401) 831-3700 X102,(401) 831-0105 ,www.richarterschools.com
,,,"255 Westminster Street, Room 002","Providence, RI  02903",(401) 222-8938 ,(401) 222-2146 ,www.rimle.org
,,,667 Waterman Avenue,"East Providence, RI  02914",(401) 248-7070 ,(401) 248-7071 ,www.riphil.org
,,,"86 Weybosset Street, 5th Floor","Providence, RI  02903",(401) 521-6320 ,(401) 751-1915 ,www.ripec.org
,,,2300 Bronco HighwayBurrillville School Department,"Harrisville, RI  02830",(401) 568-1301 ,(401) 568-1337 ,www.ri-iste.org
,,,"1 Capitol Hill, 3rd Floor","Providence, RI  02908",(401) 222-6994 ,(401) 222-3018 ,
,,,"14 Upper College Road, 3rd FloorUniversity of Rhode IslandCenter for Human Services, Newman Hall","Kingston, RI  02881",(401) 874-2134 ,(401) 874-7213 ,
,,,69 Enfield Avenue,"Providence, RI  02908",(401) 349-0883 ,,www.ritea.net
,,,100 Save The Bay Drive,"Providence, RI  02905",(401) 272-3540 ,(401) 273-7153 ,www.savebay.org
,,,"33 College Hill Road, Bldg. #31","Warwick, RI  02886",(401) 823-7411 ,(401) 823-7415 ,www.specialolympicsri.org
,,,"The 134 Centre134 Thurbers Avenue, Suite 111","Providence, RI  02905",(401) 854-5500 ,(401) 854-5511 ,
,,,21 Meeting Street,"Providence, RI  02903",(401) 331-9302 ,(401) 331-0517 ,www.jlri.org
,,,600 Mt. Pleasant AvenueRIC/Old Alumni House,"Providence, RI  02908",(401) 456-1998 X2359,(401) 456-2359 ,www.ritap.org
,,,905 Westminster Street,"Providence, RI  02903",(401) 274-3240 ,(401) 277-9090 ,www.vips4kids.org
,,,PO Box 603300,"Providence, RI  02906",(401) 861-2761 ,(401) 861-2762 ,www.womenscenterri.org
01,PK - 12,,283 County RoadPO Box 95 ,"Barrington, RI  02806",(401) 245-5000 ,(401) 245-5003 ,barringtonschools.org
01104,PK - 03,PK-3,400 Nayatt Road,"Barrington, RI  02806",(401) 247-3175 ,(401) 245-5003 ,www.nayattschool.org/default.aspx
01106,09 - 12,Secondary,220 Lincoln Avenue,"Barrington, RI  02806",(401) 247-3150 ,(401) 245-6170 ,www.barringtonhigh.org/
01109,KF - 03,PK-3/Elementary,364 Sowams Road,"Barrington, RI  02806",(401) 247-3180 ,(401) 245-5003 ,barringtonschools.org
01201,PK - 08,PK-3/Elementary,10 Waldron Avenue,"Barrington, RI  02806",(401) 246-0990 ,(401) 246-2120 ,www.stlukesri.org
01303,PK - KG,PK-3/Elementary,303 Sowams Road,"Barrington, RI  02806",(401) 245-4754 ,,
01322,PK - KG,PK Only,50 Middle Highway,"Barrington, RI  02806",(401) 246-2342 ,,
01324,PK - PK,PK Only,461 County Road,"Barrington, RI  02806",(401) 246-2021 ,,
01332,KG - 12,Elementary/Secondary,9 Old County Road,"Barrington, RI  02806",(401) 246-0113 ,(401) 246-2540 ,www.bcacademy.org
01900,PK - 12,Other,,,,,
01903, - ,Other,136 County Road,"Barrington, RI  02806-4511",(401) 245-9200 ,,
01997,PK - 12,Other,,,,,
01999,PK - 12,Other,,,,,
03104,06 - 08,Middle,2220 Broncos Highway,"Harrisville, RI  02830",(401) 568-1320 ,(401) 568-1317 ,bms.bsd-ri.net/
03107,02 - 05,Elementary,75 Callahan School Street,"Harrisville, RI  02830",(401) 568-1330 ,(401) 568-1328 ,www.bsd-ri.net/schools
03109,09 - 12,Secondary,425 East Avenue,"Harrisville, RI  02830",(401) 568-1310 ,(401) 568-1363 ,bhs.bsd-ri.net/
03310,PK - PK,PK Only,474 Chapel Street,"Harrisville, RI  02830",(401) 568-6095 ,,
03801,,,PO Box 398,"Pascoag, RI  02859",(401) 568-1770 ,(401) 568-3358 ,
038A1,,,35 High StreetPO Box 414,"Pascoag, RI  02859",(401) 568-1811 ,(401) 568-4207 ,
038A3,,,872 Reservoir Road,"Pascoag, RI  02859",(401) 568-4055 ,,
038A5,,,185 Main Street,"Pascoag, RI  02859",(401) 568-1670 ,,
038A7,,,2078 Wallum Lake Road,"Pascoag, RI  02859",(401) 568-1770 ,(401) 567-0146 ,
03901, - ,Other,,,,,
03903,09 - 12,Other,PO Box 398,"Pascoag, RI  02859",,,
03990,PK - 12,Other,,,,,
03998,PK - 12,Other,,,,,
04,PK - 12,,949 Dexter ST.Lower level ,"Central Falls, RI  02863",(401) 727-7700 ,(401) 727-7722 ,www.cfschools.net
04104,PK - 01,PK-3/Elementary,14 Kendall Street,"Central Falls, RI  02863",(401) 727-7720 ,(401) 724-0577 ,hunt.cfschools.net
04108,09 - 12,Secondary,24 Summer Street,"Central Falls, RI  02863",(401) 727-7710 ,(401) 727-6157 ,cfhs.cfschools.net
04117,PK - 01,Elementary,135 Hunt Street,"Central Falls, RI  02863-1012",(401) 727-7733 ,(401) 725-4164 ,robertson.cfschools.net
04302,PK - PK,PK Only,43 Hawes Street,"Central Falls, RI  02863",(401) 723-9922 ,,
04305,PK - KG,PK-3/Elementary,626 Broad Street,"Central Falls, RI  02863",(401) 727-7700 ,,
04602,06 - 08,Middle,325 Cowden Street,"Central Falls, RI  02863",(401) 721-0964 ,(401) 721-0984 ,
04801,,,PO Box 5643,"Pawtucket, RI  02862",(401) 723-3057 ,(401) 724-8820 ,
04803,,,1030 Dexter Street,"Central Falls, RI  02863",(401) 726-2600 ,,
04805,,,626 Broad Street,"Central Falls, RI  02863",(401) 728-5920 ,,
04811,,,361 Cowden Street,"Central Falls, RI  02863",(401) 721-0964 ,,
048A1,,,626 Broad Street,"Central Falls, RI  02863",(401) 728-5921 ,(401) 724-5550 ,
048A3,,,,,,,
048A5,,,626 Broad Street,"Central Falls, RI  02863",(401) 728-5920 ,,
048A7,,,43 Hawes Street,"Central Falls, RI  02863",(401) 723-3050 ,,
048A9,,,205 Central Street,"Central Falls, RI  02863",(401) 727-7440 ,,
048B1,,,227 Cowden Street,"Central Falls, RI  02863",(401) 727-7455 ,(401) 727-7422 ,www.centralfallsri.us
04912, - ,Other,521 Dexter Street,"Central Falls, RI  02863",(401) 727-6177 ,,
04990,PK - 12,Other,,,,,
04998,PK - 12,Other,,,,,
06,PK - 12,,1675 Flat River Road ,"Coventry, RI  02816",(401) 822-9400 ,(401) 822-9464 ,www.coventryschools.net
06104,06 - 08,Middle,15 Foster Drive,"Coventry, RI  02816",(401) 822-9426 ,(401) 822-9469 ,asfms.net/
06112,KG - 05,PK-3/Elementary,95 Johnson Boulevard,"Coventry, RI  02816",(401) 822-9477 ,(401) 822-9454 ,schools.coventryschools.net/hh/
06117,PK - 05,Elementary,12 LaCasa Drive,"Coventry, RI  02816",(401) 822-9450 ,(401) 822-9452 ,schools.coventryschools.net/Blackrock/
06121,PK - 05,PK-3/Elementary,801 Read School House Road,"Coventry, RI  02816",(401) 397-1976 ,(401) 397-1094 ,www.coventryschools.net
06190,PK - 12,Other,1675 Flat River Road,"Coventry, RI  02816",(401) 822-9400 ,(401) 822-9464 ,www.coventryschools.net
06302,PK - PK,PK Only,613 Tiogue Avenue,"Coventry, RI  02816",(401) 615-3846 ,,
06323,PK - PK,PK Only,23 Cady Street                ,"Coventry, RI  02816",(401) 823-3228 ,, 
06801,,,341 South Main Street,"Coventry, RI  02816",(401) 821-3756 ,(401) 821-3756 ,
06803,,,,,,,
068A0,,,344 Hopkins Hill Road,"Coventry, RI  02816",(401) 821-1851 ,(401) 828-4706 ,
068A2,,,60 Wood Street,"Coventry, RI  02816",(401) 822-6212 ,,
068A5,,,Edith Street,"Coventry, RI  02816",(401) 828-4367 ,,
068A7,,,614 Tiogue Ave,"Coventry, RI  02816",,,
06901, - ,Other,,,,,
06903, - ,Other,,,,,
06906, - ,Other,,,,,
06908,01 - 12,Elementary/Secondary,344 Hopkins Hill Road,"Coventry, RI  02816",(401) 821-1851 ,,
06997,PK - 12,Other,,,,,
06999,PK - 12,Other,,,,,
07032, - ,Other,,,,,
07110,KG - 06,Elementary,722 Pontiac Avenue,"Cranston, RI  02910",(401) 270-8013 ,(401) 270-8614 ,ddwatermanschool.weebly.com/
07113,09 - 12,Secondary,899 Park Avenue,"Cranston, RI  02910",(401) 270-8126 ,(401) 270-8509 ,chse.cpsed.net/
07116,KG - 06,Elementary,32 Garden Street,"Cranston, RI  02910",(401) 270-8104 ,(401) 270-8528 ,cpsed.net/dutemple/INDEX2.htm
07118,KG - 06,Elementary,180 Oakland Avenue,"Cranston, RI  02910",(401) 270-8029 ,(401) 270-8530 ,edenparkelementary.weebly.com/
07120,PK - 06,Elementary,100 Crescent Avenue,"Cranston, RI  02910",(401) 270-8188 ,(401) 270-8597 ,stadiumelementary.weebly.com/index.html
07122,PK - 06,PK-3/Elementary,70 Plantations Drive,"Cranston, RI  02920",(401) 270-8073 ,(401) 270-8536 ,www.gardencityelementaryschool.com/index.html
07124,KG - 06,Elementary,15 Mayberry Street,"Cranston, RI  02920",(401) 270-8199 ,(401) 270-8577 ,www.cpsed.net/
07126,09 - 12,Secondary,80 Metropolitan Avenue,"Cranston, RI  02920",(401) 270-8049 ,(401) 270-8526 ,cpsed.net/chsw/index.htm
07128,PK - 06,Elementary,50 Glen Hills Drive,"Cranston, RI  02920",(401) 270-8005 ,(401) 270-8544 ,www.glen-hills.net/
07130,KG - 06,PK-3/Elementary,160 Pawtuxet Avenue,"Cranston, RI  02905",(401) 270-8065 ,(401) 270-8534 ,edgewoodhighlandschool.wikispaces.com/
07134,PK - 06,Elementary,300 Hope Road,"Cranston, RI  02921",(401) 270-8148 ,(401) 270-8706 ,www.hopehighlands.net/Pages/default.aspx
07136,PK - 06,Elementary,1555 Scituate Avenue,"Cranston, RI  02921",(401) 270-8801 ,(401) 270-8805 ,sites.google.com/site/orchardfarmselementaryschool/
07202,PK - 08,Elementary,235 Garden Hills Drive ,"Cranston, RI  02920",(401) 942-7245 ,(401) 943-5738 ,www.iccatholicschool.org
07205,PK - 08,PK-3/Elementary,1789 Broad Street,"Cranston, RI  02905",(401) 941-2030 ,(401) 941-0644 ,www.saintpaulschoolcranston.org
07302,PK - PK,PK Only,200 Meshanticut Valley Pky.,"Cranston, RI  02920",(401) 944-5377 ,,
07304,07 - 12,Ungraded,735 New London Avenue,"Cranston, RI  02920",(401) 946-2020 ,(401) 946-2030 ,
07309,PK - PK,PK Only,848 Atwood Avenue,"Cranston, RI  02920",(401) 943-5160 ,,
07312,PK - KG,PK-3/Elementary,690 Dyer Avenue               ,"Cranston, RI  02920",(401) 946-2450 ,, 
07327,KG - 12,Elementary/Secondary,83 Rolfe Square,"Cranston, RI  02910",(401) 941-9707 ,(401) 785-2517 ,
07336,PK - KG,PK-3/Elementary,1170 Pontiac Avenue,"Cranston, RI  02920",(401) 941-3705 ,,
07345,PK - PK,PK Only,499 Hope Road                 ,"Cranston, RI  02921",(401) 822-4949 ,, 
07351,PK - KG,PK-3/Elementary,180 Oaklawn Avenue,"Cranston, RI  02920",(401) 942-3331 ,,
07406, - ,Postsecondary,379 Atwood Avenue,"Cranston, RI  02920",(401) 946-9920 ,,www.paulmitchelltheschool.com
07702,06 - 12,Ungraded,57 Power Road,"Cranston, RI  02920",(401) 462-7248 ,(401) 462-7249 ,
07802,,,111 Comstock PKWY,"Cranston, RI  02921",(401) 942-2388 ,(401) 944-7480 ,
07804,,,905 Pontiac Avenue,"Cranston, RI  02920",(401) 941-1112 ,,
07806,,,25 Brayton Avenue,"Cranston, RI  02920",(401) 946-9220 ,,
07808,,,25 Brayton Avenue,"Cranston, RI  02920",(401) 946-9220 ,,
07810,,,,,,,
07812,,,74 Alton Street,"Cranston, RI  02910",(401) 785-3939 ,(401) 785-1750 ,
07832,,,848 Atwood Avenue,"Cranston, RI  02920",(401) 943-5160 ,,
078A0,,,735 New London Avenue,"Cranston, RI  02920",(978) 774-0774 ,,
078A2,,,80 East Street,"Cranston, RI  02920",(401) 463-6001 ,,
078A4,,,223 Scituate Avenue,"Cranston, RI  02921",(401) 944-9550 ,,
078A6,,,155 Gansett Avenue,"Cranston, RI  02920",(401) 275-5800 ,,
078A8,,,155 Gansett Avenue,"Cranston, RI  02910",(401) 275-5808 ,,
078B0,,,116 Puritan Avenue,"Cranston, RI  02920",(401) 464-9665 ,,
078B2,,,74 Alton Street,"Cranston, RI  02910",(401) 785-3939 ,,
078B4,,,74 Alton Street,"Cranston, RI  02910",(401) 785-3939 ,(401) 785-1750 ,
078B6,,,1196 Park Avenue,"Cranston, RI  02920",(401) 270-8475 ,,
078B8,,,1326 Plainfield Street,"Cranston, RI  02920",,,
078C0,,,34 Commercial Street,"Cranston, RI  02905",(401) 490-0240 ,,
078C2,,,45 Sprague Avenue,"Cranston, RI  02910",(401) 270-8057 ,(401) 270-8594 ,
078C4,,,1225 Park Avenue,"Cranston, RI  02910",(401) 943-0444 ,,
07901,KG - KF,Other,,,,,
07903, - ,Other,,,,,
07905, - ,Other,,,,,
07911, - ,Other,155 Gansett Avenue,"Cranston, RI  02910",,,
07913,KG - 12,Other,50 Rolfe Square,"Cranston, RI  02910",(401) 490-9475 ,(401) 490-9477 ,
07975, - ,Other,99 Bald Hill Rd,"Cranston, RI  02920",(401) 463-9900 ,,
07990,PK - 12,Other,,,,,
07998,PK - 12,Other,,,,,
08,PK - 12,,2602 Mendon Road ,"Cumberland, RI  02864",(401) 658-1600 ,(401) 658-4620 ,www.cumberlandschools.org
08108,KG - 05,Elementary,1364 Diamond Hill Road,"Cumberland, RI  02864",(401) 333-2557 ,(401) 333-2581 ,www.cumberlandschools.org/content/garvin-memorial-school
08110,KG - 05,Elementary,205 Manville Hill Road,"Cumberland, RI  02864",(401) 658-1660 ,(401) 658-0046 ,www.cumberlandschools.org/content/john-j-mclaughlin-cumberland-hill-school
08114,09 - 12,Secondary,2600 Mendon Road,"Cumberland, RI  02864",(401) 658-2600 ,(401) 658-3124 ,www.cumberlandschools.org/content/cumberland-high-school
08116,06 - 08,Middle,400 Nate Whipple Highway,"Cumberland, RI  02864",(401) 333-6306 ,(401) 333-1926 ,www.cumberlandschools.org/content/north-cumberland-middle-school
08121,PK - PK,PK Only,130 Scott Road,"Cumberland, RI  02864",(401) 658-1600 ,(401) 334-1811 ,www.cumberlandschools.org/schools/PreSchool/index.htm
08201,PK - 08,PK-3/Elementary,35 Wrentham Road,"Cumberland, RI  02864",(401) 333-5919 ,(401) 333-5150 ,www.mercymount.org
08302,PK - KG,PK-3/Elementary,3191 Mendon Road,"Cumberland, RI  02864",(401) 658-2829 ,,
08330,PK - PK,PK Only,120 Nate Whipple Highway      ,"Cumberland, RI  02864",(401) 658-1510 ,, 
08332,PK - PK,PK Only,126 Angell Road,"Cumberland, RI  02864",(401) 333-0303 ,,
08602,05 - 08,Middle,909 Lonsdale,"Central Falls, RI  02863",(401) 475-8829 ,(401) 475-8931 ,www.blackstonevalleyprep.org/our-schools/middle-school
08604,09 - 10,Secondary,291 Broad St.,"Cumberland, RI  02864",(401) 405-0320 ,(401) 405-0440 ,www.blackstonevalleyprep.org
08801,,,Angell Road,"Cumberland, RI  02864",(401) 727-0242 ,,
08803,,,Nate Whipple Highway,"Cumberland, RI  02864",(401) 333-1930 ,,
08805,,,Arnold Mills Road,"Cumberland, RI  02864",(401) 333-3215 ,,
08807,,,3357 Mendon Road,"Cumberland, RI  02864",,,
08809,,,500 Reservoir Rd.,"Cumberland, RI  02864",(401) 647-2255 ,,
088A0,,,96 Pine Swamp Road,"Cumberland, RI  02864",(401) 658-2218 ,(401) 334-3783 ,
088A2,,,500 Reservoir Road,"Cumberland, RI  02863",(401) 333-2286 ,,
088A4,,,1509 Mendon Road,"Cumberland, RI  02864",(401) 333-6558 ,,
088A6,,,200 Angell Road,"Cumberland, RI  02864",,,
088A8,,,291 Broad Street,"Cumberland, RI  02864",,,
08901, - ,Other,291 Broad Street              ,"Cumberland, RI  02864",,, 
08997,PK - 12,Other,,,,,
08999,PK - 12,Other,,,,,
09102,03 - 05,Elementary,101 First Avenue,"East Greenwich, RI  02818",(401) 886-3246 ,(401) 886-3262 ,www.egsd.net/Eldredge.cfm?subpage=620387
09105,KG - 02,Elementary,1100 Frenchtown Road,"East Greenwich, RI  02818",(401) 398-1402 ,(401) 886-3204 ,www.egsd.net/Frenchtown.cfm?subpage=620391
09107,PK - 02,Elementary,2 Chestnut Drive,"East Greenwich, RI  02818",(401) 398-1602 ,(401) 886-9657 ,www.egsd.net/Meadowbrook.cfm?subpage=620393
09190,PK - 12,Other,111 Peirce Street,"East Greenwich, RI  02818",(401) 398-1201 ,(401) 886-3203 ,www.egsd.net
09301,PK - KG,PK-3/Elementary,2260 South County Trail       ,"East Greenwich, RI  02818",(401) 886-4544 ,, 
09304,KG - KF,Elementary,2220 South County Trail,"East Greenwich, RI  02818",(401) 471-6289 ,(401) 471-6290 ,www.lowerschool.org
09322,PK - PK,PK Only,2608 South County Trail                PO Box 1536,"East Greenwich, RI  02818",(401) 885-1017 ,,www.happyheartskids.com                                                            
09324,PK - PK,PK Only,167 Tillinghast Road          ,"East Greenwich, RI  02818",(401) 884-8964 ,, 
09328,PK - KG,PK-3/Elementary,934 Main Street,"East Greenwich, RI  02818",(401) 884-0440 ,,
09333,PK - KF,PK-3/Elementary,1635 Division Road,"East Greenwich, RI  02818",,,
09335,PK - PF,PK-3/Elementary,836 Middle Road,"East Greenwich, RI  02818",,,
09802,,,165 Duke Street,"East Greenwich, RI  02818",(401) 884-6160 ,,
09901, - ,Other,P.O. Box 226,"warwick, RI  02818",,,
09990,PK - 12,Other,,,,,
09998,PK - 12,Other,,,,,
10,PK - 12,,145 Taunton Avenue ,"East Providence, RI  02914",(401) 431-4640 ,,www.epschoolsri.com
10109,06 - 08,Middle,111 Brown Street,"East Providence, RI  02914",(401) 435-7819 ,(401) 435-7851 ,www.epschoolsri.com/martin
10112,09 - 12,Secondary,2000 Pawtucket Avenue,"East Providence, RI  02914",(401) 435-7806 ,(401) 435-7864 ,eastprovidencehighschool.com/
10114,PK - 05,Elementary,101 Legion Way,"Riverside, RI  02915",(401) 433-6235 ,(401) 433-6207 ,www.epschoolsri.com/waddington/
10117,KF - 05,Elementary,261 Grosvenor Avenue,"East Providence, RI  02914",(401) 435-7828 ,(401) 435-7862 ,www.epschoolsri.com/whiteknact/
10123,KF - 05,Elementary,120 Silver Spring Avenue,"East Providence, RI  02914",(401) 435-7836 ,(401) 435-7826 ,www.epschoolsri.com/silverspring/
10125,KF - 05,Elementary,64 Bourne Avenue,"Rumford, RI  02916",(401) 435-7829 ,(401) 435-7853 ,epschoolsri.com/francis
10190,PK - 12,Other,145 Taunton Avenue,"East Providence, RI  02914",(401) 435-7500 ,(401) 435-7507 ,epschoolsri.com
10205,PK - 08,PK-3/Elementary,42 Bishop Avenue,"East Providence, RI  02916",(401) 434-2338 ,(401) 431-0266 ,www.stmargaretsch.org
10301,05 - 12,Elementary/Secondary,660 Waterman Avenue,"East Providence, RI  02914",(401) 438-5170 ,(401) 435-4514 ,www.providencecountryday.org
10304,PK - 08,PK-3/Elementary,45 Maxfield Avenue,"East Providence, RI  02914",(401) 434-3833 ,(401) 431-0320 ,
10309,PK - PK,PK Only,4 Newman Avenue,"Rumford, RI  02916",(401) 435-0126 ,,
10312,KF - 08,Elementary,215 Ferris Avenue,"East Providence, RI  02916",(401) 432-9940 ,(401) 432-9947 ,www.thewolfschool.org
10332,PK - PK,PK Only,165 Rounds Avenue             c/o Covenant Church,"Riverside, RI  02915",(401) 433-3196 ,, 
10344,PK - PK,PK Only,386 Willett Avenue,"Riverside, RI  02915",(401) 437-0018 ,,
10801,,,268 Pawtucket Avenue          ,"Rumford, RI  02916",,, 
10803,,,1320 Pawtucket Avenue,"East Providence, RI  02916",,,
10805,,,56 Purchase Streetc/o Sacred Heart School,"East Providence, RI  02914",(401) 434-1080 ,(401) 434-4138 ,
10839,,,371 Pine Street,"Providence, RI  02903",(508) 336-7103 ,,
108A0,,,141 Wilson Avenue,"Rumford, RI  02916",(401) 434-5014 ,(401) 434-1252 ,
108A2,,,Central Avenue,"East Providence, RI  02914",(401) 435-7509 ,,
108A4,,,Oldham James Road,"East Providence, RI  ",(401) 435-7500 ,,
108A6,,,1320 Pawtucket Avenue,"East Providence, RI  02914",(508) 336-7103 ,,
108A9,,,33 Hoppin Avenue,"Riverside, RI  02915",,,
108B2,,,115 Williams Avenue,"East Providence, RI  02914",(401) 434-6776 ,,
108B4,,,201 Mercer Street,"East Providence, RI  02914",(508) 336-7103 ,,
108B6,,,North Hull Street,"East Providence, RI  ",(401) 831-1119 ,,
108B8,,,Providence Avenue,"East Providence, RI  02907",(401) 831-1119 ,,
108C0,,,111 Brown Street,"East Providence, RI  02914",(401) 606-6700 ,(401) 606-6730 ,
10900,PK - 12,Other,,,,,
10902,PK - 12,Other,472 Tauton Avenue,"Seekonk, MA  02771",(508) 336-7103 ,,
10997,PK - 12,Other,,,,,
10999,PK - 12,Other,,,,,
12101,KG - 05,Elementary,160 Foster Center Road,"Foster, RI  02825",(401) 647-5100 ,(401) 647-3750 ,www.paineschool.org/
128A1,,,174 Hartford Pike,"Foster, RI  02825",(401) 723-2277 ,,
12901,PK - 12,Other,,,,,
12997,PK - 12,Other,,,,,
12999,PK - 12,Other,,,,,
13103,PK - 05,Elementary,736 Snake Hill Road,"North Scituate, RI  02857",(401) 568-6211 ,(401) 568-3776 ,http://fms.glocschools.org/home
13190,PK - 05,Other,Glocester Town Hall1145 Putnam Pike P.O.Box B,"Chepachet, RI  02814",(401) 568-4160 ,(401) 568-5850 ,http://wges.glocschools.org/
13302,PK - KG,PK-3/Elementary,19-B Terry Lane               ,"Chepachet, RI  02814",(401) 567-9091 ,, 
138A0,,,Long Entry Road,"Harmony, RI  02814",(401) 949-2400 ,,
138A2,,,PO Box 353,"Glocester, RI  02814",(401) 568-6525 ,,
13902, - ,Other,,,,,
13997,PK - 12,Other,,,,,
13999,PK - 12,Other,,,,,
15101,05 - 08,Middle,55 Lawn Avenue,"Jamestown, RI  02835",(401) 423-7010 ,(401) 423-7012 ,www.jamestownri.com/school/lawnave.htm
15190,PK - 12,Other,76 Melrose Avenue,"Jamestown, RI  02835",(401) 423-7020 ,(401) 423-7022 ,http://www.jamestownri.com/school/default.htm
15900,PK - 12,Other,,,,,
15997,PK - 12,Other,,,,,
15999,PK - 12,Other,,,,,
16103,01 - 05,Elementary,4 School Street,"Johnston, RI  02919",(401) 943-7369 ,(401) 943-6940 ,thornton.johnstonschools.org/
16108,KG - 05,Elementary,24 Barnes Avenue,"Johnston, RI  02919",(401) 231-8710 ,(401) 231-7470 ,barnes.johnstonschools.org/
16110,PK - PF,PK Only,6 Collins Avenue,"Johnston, RI  02919",(401) 231-8790 ,(401) 232-2060 ,www.johnstonschools.org
16112,09 - 12,Secondary,345 Cherry Hill Road,"Johnston, RI  02919",(401) 233-1920 ,(401) 233-0031 ,johnstonhighschool.com/
16116,09 - 12,Secondary,7 Waveland Street,"Johnston, RI  02919",(401) 831-2653 ,(401) 831-2690 ,http://johnstonhighschool.com/
16221,PK - 08,PK-3/Elementary,931 Atwood Avenue,"Johnston, RI  02919",(401) 944-2993 ,(401) 944-3019 ,www.stroccoschool.org
16326,PK - KG,PK-3/Elementary,87 Putnam Avenue,"Johnston, RI  02919",(401) 233-3360 ,, 
16332,PK - PF,PK-3/Elementary,350 Central Avenue            ,"Johnston, RI  02919",(401) 943-5180 ,, 
16801,,,785 Greenville Avenue,"Johnston, RI  02919",(401) 949-1443 ,(401) 949-1834 ,
16803,,,1126 Hartford Avenue,"Johnston, RI  02919",(401) 351-2750 ,,
16805,,,1269 Plainfield Street,"Johnston, RI  02919",(401) 383-4664 ,(401) 383-4663 ,
168A0,,,785 Greenville AvenueJohnston Campus,"Johnston, RI  02919",(401) 949-1303 ,(401) 949-1834 ,
168A2,,,Oak Swamp Reservoir,"Johnston, RI  02919",(401) 943-0444 ,,
168A4,,,1269 Plainfield Street,"Johnston, RI  02919",(401) 383-4664 ,(401) 383-4663 ,
168A6,,,678 Killingly Street,"Johnston, RI  02919",,,
168A8,,,87 Shore Drive,"Johnston, RI  02919",,,
16901, - ,Other,,,,,
16903, - ,Other,1126 Hartford Ave,"Johnston, RI  02919",(401) 519-1901 ,,
